is_filler,cross,q_idx,filler
0,0,sw2432B-ms98-a-0064,qy
1,25,sw2432B-ms98-a-0064,uh
1,1,sw2432B-ms98-a-0064,uh
1,261,sw2432B-ms98-a-0064,um
1,258,sw2432B-ms98-a-0064,uh
0,0,sw2435B-ms98-a-0142,qy
1,0,sw2435B-ms98-a-0142,uh
1,2,sw2435B-ms98-a-0142,um
1,0,sw2435B-ms98-a-0142,uh
1,0,sw2435B-ms98-a-0142,um
1,0,sw2435B-ms98-a-0142,uh
0,0,sw2439B-ms98-a-0106,qy
1,0,sw2439B-ms98-a-0106,uh
1,0,sw2439B-ms98-a-0106,uh
1,5,sw2439B-ms98-a-0106,um
1,0,sw2439B-ms98-a-0106,uh
1,0,sw2439B-ms98-a-0106,uh
1,0,sw2439B-ms98-a-0106,um
0,0,sw2442B-ms98-a-0024,qy
1,0,sw2442B-ms98-a-0024,um
1,0,sw2442B-ms98-a-0024,uh
1,0,sw2442B-ms98-a-0024,uh
1,1,sw2442B-ms98-a-0024,um
1,1,sw2442B-ms98-a-0024,um
0,14,sw2492A-ms98-a-0026,qy
1,216,sw2492A-ms98-a-0026,um
1,228,sw2492A-ms98-a-0026,um
1,256,sw2492A-ms98-a-0026,um
0,0,sw2505A-ms98-a-0008,qy
1,0,sw2505A-ms98-a-0008,um
1,0,sw2505A-ms98-a-0008,um
0,0,sw2515A-ms98-a-0043,qy
1,0,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,um
1,0,sw2515A-ms98-a-0043,uh
1,1,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,uh
1,0,sw2515A-ms98-a-0043,uh
0,0,sw2521A-ms98-a-0067,qy
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
1,0,sw2521A-ms98-a-0067,uh
0,2,sw2521B-ms98-a-0077,qy
1,-1,sw2521B-ms98-a-0077,uh
1,9,sw2521B-ms98-a-0077,uh
1,0,sw2521B-ms98-a-0077,uh
1,3,sw2521B-ms98-a-0077,um
1,-1,sw2521B-ms98-a-0077,uh
1,0,sw2521B-ms98-a-0077,uh
1,-1,sw2521B-ms98-a-0077,uh
0,0,sw2521B-ms98-a-0079,qy
1,-1,sw2521B-ms98-a-0079,uh
1,-1,sw2521B-ms98-a-0079,uh
1,-1,sw2521B-ms98-a-0079,uh
1,3,sw2521B-ms98-a-0079,um
1,-1,sw2521B-ms98-a-0079,uh
1,-1,sw2521B-ms98-a-0079,uh
1,-1,sw2521B-ms98-a-0079,uh
0,0,sw2528A-ms98-a-0045,qy
1,0,sw2528A-ms98-a-0045,uh
1,14,sw2528A-ms98-a-0045,um
1,0,sw2528A-ms98-a-0045,um
1,7,sw2528A-ms98-a-0045,um
1,0,sw2528A-ms98-a-0045,um
1,4,sw2528A-ms98-a-0045,um
1,0,sw2528A-ms98-a-0045,uh
1,0,sw2528A-ms98-a-0045,uh
1,5,sw2528A-ms98-a-0045,um
1,15,sw2528A-ms98-a-0045,um
1,17,sw2528A-ms98-a-0045,um
1,0,sw2528A-ms98-a-0045,uh
1,0,sw2528A-ms98-a-0045,uh
1,0,sw2528A-ms98-a-0045,uh
1,0,sw2528A-ms98-a-0045,um
1,10,sw2528A-ms98-a-0045,um
1,4,sw2528A-ms98-a-0045,um
1,7,sw2528A-ms98-a-0045,um
1,0,sw2528A-ms98-a-0045,um
0,0,sw2528A-ms98-a-0141,qy
1,0,sw2528A-ms98-a-0141,uh
1,247,sw2528A-ms98-a-0141,um
1,234,sw2528A-ms98-a-0141,um
1,257,sw2528A-ms98-a-0141,um
1,217,sw2528A-ms98-a-0141,um
1,231,sw2528A-ms98-a-0141,um
1,215,sw2528A-ms98-a-0141,uh
1,241,sw2528A-ms98-a-0141,uh
1,239,sw2528A-ms98-a-0141,um
1,246,sw2528A-ms98-a-0141,um
1,249,sw2528A-ms98-a-0141,um
1,219,sw2528A-ms98-a-0141,uh
1,237,sw2528A-ms98-a-0141,uh
1,0,sw2528A-ms98-a-0141,uh
1,237,sw2528A-ms98-a-0141,um
1,243,sw2528A-ms98-a-0141,um
1,235,sw2528A-ms98-a-0141,um
1,240,sw2528A-ms98-a-0141,um
1,243,sw2528A-ms98-a-0141,um
0,0,sw2528A-ms98-a-0144,qy
1,0,sw2528A-ms98-a-0144,uh
1,-1,sw2528A-ms98-a-0144,um
1,-1,sw2528A-ms98-a-0144,um
1,-1,sw2528A-ms98-a-0144,um
1,3,sw2528A-ms98-a-0144,um
1,506,sw2528A-ms98-a-0144,um
1,0,sw2528A-ms98-a-0144,uh
1,0,sw2528A-ms98-a-0144,uh
1,503,sw2528A-ms98-a-0144,um
1,-1,sw2528A-ms98-a-0144,um
1,-1,sw2528A-ms98-a-0144,um
1,1,sw2528A-ms98-a-0144,uh
1,0,sw2528A-ms98-a-0144,uh
1,0,sw2528A-ms98-a-0144,uh
1,-1,sw2528A-ms98-a-0144,um
1,500,sw2528A-ms98-a-0144,um
1,506,sw2528A-ms98-a-0144,um
1,505,sw2528A-ms98-a-0144,um
1,505,sw2528A-ms98-a-0144,um
0,0,sw2528B-ms98-a-0025,qy
1,224,sw2528B-ms98-a-0025,um
1,205,sw2528B-ms98-a-0025,uh
1,204,sw2528B-ms98-a-0025,um
1,233,sw2528B-ms98-a-0025,um
1,180,sw2528B-ms98-a-0025,um
0,-1,sw2534A-ms98-a-0016,qy
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,um
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,uh
1,-1,sw2534A-ms98-a-0016,um
0,0,sw2549A-ms98-a-0012,qy
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,1,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,um
1,0,sw2549A-ms98-a-0012,um
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,um
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
1,0,sw2549A-ms98-a-0012,uh
0,-1,sw2549A-ms98-a-0098,qy
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,um
1,-1,sw2549A-ms98-a-0098,um
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,um
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
1,-1,sw2549A-ms98-a-0098,uh
0,0,sw2549B-ms98-a-0083,qy
1,328,sw2549B-ms98-a-0083,um
1,326,sw2549B-ms98-a-0083,um
1,-1,sw2549B-ms98-a-0083,um
1,-1,sw2549B-ms98-a-0083,um
1,-1,sw2549B-ms98-a-0083,uh
1,312,sw2549B-ms98-a-0083,uh
1,325,sw2549B-ms98-a-0083,um
1,375,sw2549B-ms98-a-0083,um
1,329,sw2549B-ms98-a-0083,uh
1,-1,sw2549B-ms98-a-0083,um
1,0,sw2549B-ms98-a-0083,uh
1,0,sw2549B-ms98-a-0083,uh
1,0,sw2549B-ms98-a-0083,um
1,0,sw2549B-ms98-a-0083,uh
1,0,sw2549B-ms98-a-0083,uh
1,0,sw2549B-ms98-a-0083,uh
0,0,sw2576B-ms98-a-0078,qy
1,-1,sw2576B-ms98-a-0078,um
1,1,sw2576B-ms98-a-0078,um
1,-1,sw2576B-ms98-a-0078,uh
1,-1,sw2576B-ms98-a-0078,uh
1,2,sw2576B-ms98-a-0078,uh
1,1,sw2576B-ms98-a-0078,uh
1,0,sw2576B-ms98-a-0078,um
1,1,sw2576B-ms98-a-0078,um
1,-1,sw2576B-ms98-a-0078,um
1,-1,sw2576B-ms98-a-0078,uh
1,0,sw2576B-ms98-a-0078,uh
1,-1,sw2576B-ms98-a-0078,uh
0,-1,sw2576B-ms98-a-0088,qy
1,-1,sw2576B-ms98-a-0088,um
